region,Category,revenue,units_sold
North,Electronics,15000,45
North,Clothing,8200,120
South,Furniture,13200,18
South,Groceries,5400,210
East,Electronics,17600,38
East,Sports,9300,52
West,Clothing,7800,95
West,Furniture,14500,24
Central,Groceries,6100,180
Central,Electronics,19900,31
North,Sports,8800,60
South,Electronics,16400,40
East,Clothing,7300,110
West,Groceries,5200,220
Central,Furniture,15800,20
North,Groceries,5900,195
South,Sports,10100,47
East,Furniture,13900,22
West,Electronics,18200,36
Central,Clothing,8100,105
North,Furniture,14700,19
South,Clothing,7600,100
East,Groceries,5700,205
West,Sports,9800,50
Central,Sports,11200,44
