Day,temperature_c
Day_1,31.2
Day_2,25.3
Day_3,35.9
Day_4,37.1
Day_5,29.7
Day_6,34.6
Day_7,27.8
Day_8,37.0
Day_9,36.9
Day_10,25.0
Day_11,27.9
Day_12,25.2
Day_13,29.1
Day_14,37.4
Day_15,34.1
Day_16,27.0
Day_17,24.8
Day_18,35.5
Day_19,36.2
Day_20,25.8
Day_21,33.7
Day_22,34.2
Day_23,33.4
Day_24,33.3
Day_25,32.6
Day_26,37.2
Day_27,32.8
Day_28,31.6
Day_29,29.6
Day_30,37.9
Day_31,34.7
Day_32,24.2
Day_33,25.4
Day_34,29.6
Day_35,36.2
Day_36,24.2
Day_37,35.5
Day_38,35.1
Day_39,34.5
Day_40,28.8
Day_41,32.6
Day_42,34.0
Day_43,37.3
Day_44,37.5
Day_45,24.3
Day_46,36.7
Day_47,36.9
Day_48,33.2
Day_49,32.1
Day_50,33.7
